English,Hindi,Definition
Abrasion,अपघर्षण,पृष्ठ का धिसना या रगड़ना
Abrasion test,अपघर्षण परीक्षण,पदार्थ की चिकनी पृष्ठ पर खरोंच बनाकर परीक्षण
Abrasive (Abradant),अपघर्षक,"एमरी जैसे पदार्थ, जिनका उपयोग घिसाई के लिये किया जाता है ।"
Absolute pressure,यथार्थ दाब,"शून्य दाब के सापेक्ष नापा गया दाब । यह दाब प्रमाप दाब तथा
वायुमंडल दाब के योग के बराबर होता है ।"
Absorber,अवशोषक,"मुख्य तंत्र के कंपन अभिलक्षणों का आशोधन करने के लिये एक सहायककंपी तंत्र, जो अवमंदित या अनावमंदित हो सकता है ।"
Absorption Dynamometer,"अवशोषण शक्ति मापित्र, अवशोषण डायनामोमीटर ।","एक प्रकार का शक्ति मापित्र, जिसमें कृत कार्य का मापन, शक्ति के अवशोषण या शमन करके किया जाता है अर्थात ब्रेक-घर्षण द्वारा, जैसे फ्राउडे ब्रेक में ।"
Acceleration,त्वरण,"वेग परिवर्तन की दर या ईकाई समय में वेग में औसत वृद्धि प्रायः मीटर प्रति सेकिंड, से दशशते हैं ।"
Acceleration due to gravity,गुरुत्व त्वरण,निर्वात में मुक्त रुप से गिरते हुये पिंड का त्वरण जो पृथ्वी के केन्द्र से उसकी दूरी वे अनुसार बदलता है । समुद्री तल पर इसका औसत मान 9.806 मीटर प्रति सेंकिड प्रति सेकिंड होता है ।
Accelerator Pedal,त्वरक पैडल/त्वरक पदिक,"(ए) मोटर वाहन में प्रयुक्त, पैड़ल, जो श्रोटिल बाल्व/उपरोध वाल्ब को प्रचालित करता है तथा इंजिन की शक्ति एवं चाल को नियंत्रित करता है ।
(बी) एक प्रकार का पैडल, जो तेल इंजन में ईधन अन्तः क्षेपण को नियंत्रित करता है ।"
Accelerometer,त्वरणमापी,त्वरण मापने का एक प्रकार का उपयंत्र
Accessory gear-box,उपसाधन गियर-बॉक्स,"एक प्रकार का गियर-बॉक्स, जो इंजन से बहुत दूरी पर लगा होता है तथा इंजन द्वारा चलाया जाता है इसका उपयोग उपसाधनों को आरोपित करने में किया जाता है । जैसे विमान इंजनों पर द्रवीय पम्पों का आरोपण ।"
Acid pump,अम्ल-पम्प,"एक प्रकार का पम्प, जिसमें कांच से निर्मित वालव तथा बैरल लगे होते हैं। इन पर अम्लों का कुप्रभाव नहीं पड़ता ।"
Ackermann Steering,एकरमान अरित्रण,"आटोमोबील में प्रयुक्त एक प्रकार की यंत्रावली, जिसकी सहायता से आन्तरिक धुरा बाहरी धुरे की अपेक्षा अधिक कोण पर चलता है जब वाहन मोड़ पर चल रहा हो । ताकि अपने-अपने पहियों को लगभग वास्तविक वेल्लन दी जा सके ।"
Acme thread,एकमी-चूड़ी,"मानक अमरीकी पेंच चूडी, इसमें 29 अंश पर झुके होते है ।
इसका प्रयोग प्रायः प्रभरण पेंचों में किया जाता है । इस पेंच की गहराई वर्ग चूड़ी के बराबर होती है । लेकिन यह अधिक शक्तिशाली होती है। क्योंकि इस चूड़ी की चौड़ाई वर्ग चूड़ी से अधिक होती है ।"
Actual coefficient of Performance,(वास्तविक निष्पादन गुणांक),प्रशीतन संयंत्र में वास्तविक प्रशीतन एवं कृतकार्य का अनुपात ।
