English,Hindi
Artwork,कलाकृति
Drawing (When it is used as a subject),आरेखण
Etching Print,एचिंग प्रिंट
Graphic Print,ग्राफ़िक प्रिंट
Intaglio print,इंटैलिओ प्रिंट
Modern Painting,आधुनिक चित्रकला
Print,प्रिंट
Silk Screen Print,सिल्क स्क्रीन प्रिंट
Sumi-e painting,सुमी-ए चित्रकला 
Painting (when used as an object),चित्रकारी
Drawing (when it is used an object),आरेख
Collage,कोलाज
Sketch,रेखाचित्र
Landscape,भूदृश्य
Murals,भित्ति चित्र
But,परंतु (परन्तु नहीं)
Textual/literary sources,साहित्यिक स्रोत
Works,"रचनाएँ, कृति, कार्य "
Inscription,अभिलेख
Exhibition,एग्ज़िबिशन
Nandalal- Master Draughtsman,"नंदलाल- मास्टर ड्राफ्ट्समैन"
Draughtsman,ड्राफ्ट्समैन
Representation ,चित्रण
किये, किए
 गयी,गई
नयी ,नई
गये,गए
दिये,दिए
Mansard, मैन्सर्ड
जहां,जहाँ 
यहां,यहाँ 
कहां,कहाँ
सामग्रियाँ,सामग्री
सामग्रियों,सामग्री
Portrait,रूपचित्र
Pattern,पैटर्न
Record,रिकॉर्ड
Frottage,फ़्रॉटाज
Design,डिज़ाइन
Margin,हाशिया (हाशिये पर)
Stroke,रेखा
Fluid (as in strokes),प्रवाही
English Language,अंग्रेज़ी भाषा
Tonal variations,रंग-संबंधी विविधताएँ/विविधताओं
Vertically,लंबवत
Shading,छायांकन
Tone,रंगत
Tonal,रंगत संबंधी
Tonal Variations,रंग संबंधी विविधताएँ
Rendition,प्रतिपादन
Dynamism,गतिशीलता
Brush Swabs,कूँची के हल्के धब्बें
Dabs and dashes of ink,स्याही की थपकियाँ और छीटें
Right and Left,बाएँ और दाएँ
Loose strokes,ढीली रेखाएँ
Coarse,अपरिष्कृत
Light washes of (ink/colour),स्याही के हल्के रंग/ रंग को हल्का करके
Sketching,रेखाचित्रण
Cross-hatching,तिर्यक रेखा छायन (क्रॉस-हैचिंग)
Stippling,बिंदुचित्रण (स्टिपलिंग)
Lithograph Print,लिथोग्राफ़ प्रिंट
Motif,रूपांकन
contours,रूपरेखा
Floral border pattern,फूलों वाले किनारी के पैटर्न
Woodcut print,वुडकट प्रिंट
Oil Painting (as an object),तेल रंग चित्रकारी
Oil painting (as a subject/process/art form),तेल रंग चित्रकला
Oil on canvas,कैन्वस पर तैलीय रंगों से बनी चित्रकारी/ तेल रंग चित्रकारी
Oil colours,तेल रंग
district,ज़िला
shades,रंगत
Frame,फ़्रेम
Mixed media,मिश्रित मीडिया
Jamini Roy,जामिनी रॉय
viz/namely/ which means,यानी
Rabindranath Tagore/ Thakur,रवींद्रनाथ टैगोर/ ठाकुर (Only if it says thakur in English)
Personal seal,निजी मुहर
engrave/incise/gauge,उकेरना/ उत्कीर्ण करना
Scribbled sketch,अपरिष्कृत/त्वरित रेखाचित्र
range,शृंखला
artist,कलाकार
Fluid handling,प्रवाही संचालन
6th century BC,ईसा पूर्व छठी शताब्दी
7th and 8th Centuries CE,ईसा की सातवीं तथा आठवीं
A word of caution,चेतावनी
Accounts,लेखों
Afghan,अफ़गान
Architectural feature,वास्तुशिल्प की एक विशेषता
Beam,धरन
Dignitaries,पदाधिकारियों
Direction,दिशा
Dynasty,राजवंश
Explore through Images,चित्रों के माध्यम से अन्वेषण करें
Fa Hien /Fa Xian,फ़ा शिएन
Fortification,किलाबंदी
Found,मिले (प्राप्त नहीं)
Found during excavations,खुदाई में मिले
French,फ़्रांसीसी
Headdress,साफ़े
Height,ऊँचाई
High,ऊँचा
However/Although,हालाँकि
Huan Tsang,ह्वेनसांग
Ionic style of architecture,आयनिक
It functions as,प्रयोग/ इस्तेमाल किया जाता/जाती है (न कि कार्य करता है/ करती है)
Jean Baptiste Tavernier,जौं बैपटिस्टे टैवर्नियर
Kumrhaar,कुम्रहार
Marie Antoinette,मेरी एन्तोएनेत
Material,पाठ्य सामग्री
Megasthenes,मेगस्थनीज़
Mosque,मस्जिद (ध्यान रखें कि यह स्त्रीलिंग है)
Mughal,मुग़ल
Neo-classical,नवशास्त्रीय या नियोक्लासिकल
Niche,आलों
Salt Petre,सज्जीखार (सॉल्ट पीटर)
Sikh,सिक्ख
Sufi,सूफ़ी
Sultan,सुल्तान
Terracotta,पकी मिट्टी
Tombs,कब्र
Unfathomable,असीम
Untouchability,अस्पृश्यता / छुआछूत
Well,कुआँ /कुएँ
Baoli,बावली/ बावड़ी
Gouache Paint,ग्वाश रंग
Gouache Painting,ग्वाश चित्रकारी
Sound and Light show,ध्वनि एवं प्रकाश कार्यक्रम
Drawing Artwork Sketch,कलाकृति रेखाचित्र आरेखण
National Gallery of Modern Art New Delhi,राष्ट्रीय आधुनिक कला संग्रहालय नई दिल्ली
down,"अध:, नीचे"
