English,Hindi
Nandalal had a deep admiration for the rich artistic history of India and often incorporated elements from it in his works.,नंदलाल को भारत के समृद्ध कलात्मक इतिहास के प्रति गहरी अनुरक्ति थी और वह अक्सर अपनी रचनाओं में उसके तत्वों को शामिल भी किया करते थे।
by studying the works of old masters,पुराने उस्तादों के कार्यों का अध्ययन करके
Referring to the book,पुस्तक को संदर्भित करती है।
as suggested in the inscriptions,जैसा कि अभिलेखों में बताया गया है/से पता चलता है
"In this album of 60 sketches, the artist has studied ornamental depictions of antelopes and deer from various textual sources and indigenous styles of painting and reproduced them on paper.","60 रेखाचित्रों के इस एल्बम में, कलाकार ने विभिन्न साहित्यिक स्रोतों और चित्रकला की स्वदेशी शैलियों से मृगों और हिरणों के सजावटी चित्रणों का अध्ययन किया है और उन्हें कागज़ पर पुन: प्रस्तुत किया है।"
"Nandalal had some knowledge of pre modern Indian painting styles early in his career and with the passage of time, he began to more intensively acquaint himself with its achievements.","नंदलाल को अपने कार्यकाल के शुरुआत में ही पूर्व-आधुनिक भारतीय चित्रकला की शैलियों का कुछ ज्ञान था और समय के साथ, उन्होंने इनकी उपलब्धियों से स्वयं को और अधिक गहनता से अवगत कराना शुरू कर दिया।"
"Nandalal had a strong affinity for sketching and drawing, instantly recording in the postcard-sized papers his subjects from the surrounding environs, people in their everyday life, animals, flora and fauna or anything that he found fascinating.","नंदलाल को रेखाचित्र और आरेख बनाने के प्रति गहरा आकर्षण था, जिसके कारण वे पोस्टकार्ड के आकार के कागजों पर तुरंत, आसपास का वातावरण, अपने रोजमर्रा के जीवन में लगे लोगों, जानवरों, वनस्पति और जीव जैसे विषयों को, या कुछ भी जो उन्हें आकर्षक लगता था, आरेखित कर देते थे।"
"Nandalal had a strong affinity for sketching, his subjects being the surrounding environs, people in their everyday life or anything that he found fascinating.","नंदलाल को रेखाचित्र बनाने के प्रति गहरा आकर्षण था । उनके विषय थे आसपास का वातावरण, अपने रोजमर्रा के जीवन में लगे लोग, या कुछ भी जो उन्हें आकर्षक लगता था।"
"In this drawing, the artist has represented a beautiful maiden","इस आरेख में, कलाकार ने एक सुंदर युवती को दर्शाया है"
"Dinkar Kowshik in his article, 'Drawings and Sketches of Nandalal Bose', writes- ""Nandalal's drawings are vast in number and varied in technical interest. He was indefatigable in his search for form and to the end of his life, he remained a student. Whatever he saw, and wherever he went he recorded the flora and fauna, the people of the place, their dress, their carriages, the head-dresses, the landscape, the festivals, the architecture, and while doing that he went on attaining a felicity of expression.""","दिनकर कौशिक ने अपने लेख, ‘ड्रॉइंग्स, एंड स्केचेस ऑफ़ नंदलाल बोस’ में लिखा है- “नंदलाल के आरेख संख्या में बहुत अधिक हैं और कई प्रकार की तकनीकी अभिरुचियाँ दर्शाते हैं। वे रूप के अन्वेषण में अथक थे और अपने जीवन के अंत तक वे एक छात्र बने रहे। उन्होंने जो कुछ भी देखा, और वे जहाँ भी गए, उन्होंने वहाँ की वनस्पति और जीव, वहाँ के लोगों, उनकी पोशाकों, उनकी गाड़ियों, साफों, भूदृश्य, त्योहारों, वास्तुकला का अभिलेखन किया और ऐसा करते हुए उन्होंने अभिव्यक्ति का परम आनंद प्राप्त किया।”"
"R. Siva Kumar in the book, 'Rhythms of India: The Art of Nandalal Bose' writes, ""Nandalal's drawing takes through different landscapes and introduces us to live in different cultures- not cosmetically, but intimately. Done on small cards, these drawings are a visual record of the artist's sensory experiences, and they capture the varying moods and gestures with remarkable ease and economy.""","कला इतिहासकार आर. शिव कुमार ने पुस्तक ‘रिदम्स ऑफ़ इंडिया: द आर्ट ऑफ़ नंदलाल बोस’ में नंदलाल के रेखाचित्रों और आरेखों का वर्णन इस प्रकार किया है – “नंदलाल का आरेख विभिन्न भूदृश्यों को दर्शाता है और हमें, ऊपरी तौर पर नहीं, बल्कि अंतरंग रूप से विभिन्न संस्कृतियों में रहने का प्रस्ताव देता है। छोटे कार्डों पर किए गए, ये आरेख कलाकार के संवेदी अनुभवों के एक दृश्य रिकॉर्ड हैं, और वे अलग-अलग मनोदशाओं तथा भावों को, उल्लेखनीय सहजता और लाघव के साथ, प्रदर्शित करते हैं।”"
"This painting was purchased from the collection of Shri Biswaroop Bose and Smt. Nivedita Bose, children of Nandalal Bose.","यह चित्रकारी, नंदलाल बोस की संतानों, श्री बिस्वरूप बोस और श्रीमती निवेदिता बोस, के संग्रह से खरीदी गई थी।/
 
यह चित्रकारी, श्री बिस्वरूप बोस और श्रीमती निवेदिता बोस के संग्रह से खरीदी गई थी, जो नंदलाल बोस की संतानें थीं।/

यह चित्रकारी नंदलाल बोस के पुत्र, श्री बिस्वरूप बोस और उनकी पुत्री, श्रीमती निवेदिता बोस के संग्रह से खरीदी गई थी।"
"In this sketch, as the inscription suggests, he has studied and reproduced the heads of antelopes from the Ajanta murals by studying the works of old masters","जैसा कि अभिलेख से पता चलता है, इस रेखाचित्र में, उन्होंने पुराने उस्तादों के कार्यों का अध्ययन करके, अजंता के भित्ति चित्रों से मृगों के सिरों की प्रतिकृति तैयार की है"
"In this sketch, as the inscription suggests, he has reproduced the form of the antelope from the Ajanta murals by studying the works of old masters.","जैसा कि अभिलेख से पता चलता है, इस रेखाचित्र में, उन्होंने पुराने उस्तादों के कार्यों का अध्ययन करके अजंता के भित्ति चित्रों से मृगों के रूप की प्रतिकृति तैयार की है"
"As Jaya Appasamy in the article 'Nandalal- Master Draughtsman' in the book, 'Nandalal Bose (1882-1966) Centenary Exhibition' elucidates, ""While Nandalal had a great respect for the Indian tradition, he was not a mere copyist as has often been supposed. The past to him was a source of principles and ideas; it had an artistic grammar, that was a discipline for hand and eye.""","जैसा कि जया अप्पास्वामी ने 'नंदलाल बोस (1882-1966) सेंटेनरी एग्ज़िबिशन' पुस्तक में अपने लेख 'नंदलाल- मास्टर ड्राफ्ट्समैन' में स्पष्ट किया है, ""हालाँकि नंदलाल के मन में भारतीय परंपरा के लिए बहुत सम्मान था, लेकिन वे केवल उसकी नकल नही करते थे जैसा कि अक्सर मान लिया जाता है। उनके लिए अतीत, सिद्धांतों और विचारों का एक स्रोत था; उसमें एक कलात्मक व्याकरण था, जो हाथों और आँखों को अनुशासित करता था।"""
"There is an inscription in English that reads, ________, referring to the book '____________________' by _________________, along the lower margin of the sketch.
Example: There is an inscription in English that reads, 'Aj. C XVII', referring to the book 'Ajanta Frescoes' by Lady Herringham, along the lower margin of the sketch.","रेखाचित्र के निचले हाशिये पर अंग्रेजी में एक अभिलेख है, जिसमें ____________लिखा है जो _________________________ की पुस्तक_____________ को संदर्भित करता है।
Example: रेखाचित्र के निचले हाशिये पर अंग्रेजी में एक अभिलेख है, जिसमें लिखा ‘Aj. C XVII’ है, जो लेडी हेरिंगम की पुस्तक ‘अजंता फ्रेस्कोस' को संदर्भित करता है।"
He studied it deeply and even assisted Ananda Coomaraswamy in preparing a catalogue of Abanindranath Tagore's collection of Mughal and Rajput paintings.,"उन्होंने इसका गहराई से अध्ययन किया और यहाँ तक कि अबनिंद्रनाथ टैगोर की मुग़ल और राजपूत चित्रकारियों के संग्रह की एक सूची तैयार करने में, आनंद कुमारस्वामी की सहायता भी की।"
"This album of 30 works mostly consists of landscapes and figurative sketches of animals in pen and ink.  Their myriad poses and postures not only serve as templates for Nandalal's sketching routines but allow him to make visual records of events, both everyday and historic.","30 कृतियों के इस एल्बम में ज्यादातर भूदृश्य और कलम और स्याही में जानवरों के प्रतीकात्मक रेखाचित्र सम्मिलित हैं। उनके अनगिनत अंग-विन्यास और मुद्राएँ, न केवल नंदलाल की रेखाचित्रण दिनचर्या के लिए प्रारूप के रूप में काम करती हैं, बल्कि उन्हें, रोज़ाना की और ऐतिहासिक, दोनों प्रकार की घटनाओं का दृश्य रिकॉर्ड बनाने में सक्षम बनाती हैं।"
"Eminent artist A. Ramachandran in the book, 'Rhythms of India: The Art of Nandalal Bose' has made the following observation about Nandalal's drawings and sketches - ""He made quick graphic impressions, often simplifying them to just few lines as he sought to understand the inherent structure of what he was seeing. At times he recorded objects in a more analytical way, while at others he transformed them into visual codes of pattern.""","सुप्रसिद्ध कलाकार ए. रामचंद्रन ने अपनी पुस्तक 'रिदम्स ऑफ़ इंडिया: द आर्ट ऑफ़ नंदलाल बोस’ में नंदलाल के आरेखों और रेखाचित्रों के बारे में निम्नलिखित टिप्पणियाँ की हैं - ""उन्होंने त्वरित ग्राफ़िक इम्प्रेशन बनाए, जिन्हें वे अक्सर कुछ ही पंक्तियों में सरलीकृत कर दिया करते थे, क्योंकि वे जो कुछ भी देखते थे, उसकी अंतर्निहित संरचना को समझने की कोशिश करते थे। कभी-कभी उन्होंने वस्तुओं का अधिक विश्लेषणात्मक तरीके से अभिलेखन किया, जबकि अन्य समय पर उन्होंने उन्हें पैटर्न के दृश्य कोड में बदल दिया।"""
The artist signed 'Nanda' in Bengali at the top-left corner of the sketch.,कलाकार ने रेखाचित्र के ऊपरी-बाएं कोने में बंगाली में 'नंदा' हस्ताक्षर किए हैं।
"In this pencil sketch, an artist Nandalal Bose has studied the head of an elephant in a side profile.",पेंसिल से बने इस रेखाचित्र में कलाकार नंदलाल बोस ने एक हाथी के सिर के एक तरफ़ की मुखाकृति का अध्ययन किया है |
"In this detailed pencil drawing the fluid handling of the lines define the contours, while the smudged strokes suggest the modelling of the form, resulting in the realistic representation of the fish.","इस विस्तृत पेंसिल से बने आरेख में प्रवाही रेखाएँ आकार की रूपरेखा परिभाषित करती हैं, और धुंधली रेखाएँ आकार के प्रतिरूपण को दर्शाती है, जिसके परिणामस्वरूप मछली का सजीव निरूपण उभरकर आता है।"
"It is exhibited in the National Gallery of Modern Art, New Delhi.","यह राष्ट्रीय आधुनिक कला संग्रहालय, नई दिल्ली, में प्रदर्शित है।"
"It is now exhibited in the National Gallery of Modern Art, New Delhi.","वर्तमान में, यह राष्ट्रीय आधुनिक कला संग्रहालय, नई दिल्ली, में प्रदर्शित है।/ यह वर्तमान में राष्ट्रीय आधुनिक कला संग्रहालय, नई दिल्ली, में प्रदर्शित है।"
"The range of Nandalal's artistic expression can be seen in the changing Indian landscapes, his varied images of nature, and the portrayal of people and places.","नंदलाल की कलात्मक अभिव्यक्ति की शृखंला बदलते भारतीय भूदृश्य, प्रकृति की उनकी विविध छवियों और लोगों और स्थानों के चित्रण में देखी जा सकती है।"
"The Indian artist, Nandalal Bose is famous for his sketches on postcard-sized papers mostly using ink and brush, recording his surroundings.","भारतीय कलाकार, नंदलाल बोस पोस्टकार्ड के आकार के कागज़ों पर मुख्य रूप से स्याही और कूँची का उपयोग करके, अपने परिवेश को दर्शाते हुए, अपने रेखाचित्रों के लिए प्रसिद्ध हैं।"
Nandalal Bose had a firm belief that for the creation of art an intimate understanding of nature and its way is imperative.,नंदलाल बोस का दृढ़ विश्वास था कि कला के निर्माण के लिए प्रकृति और उसके तौर-तरीकों की अंतरंग समझ अनिवार्य है
"In his book, 'On Art', Nandalal elaborates on an artistic understanding of anatomy thus, ''To acquire the right knowledge and perception one should study men and animals when they are on the move or are active: when one can note in action the how and wherefore of the body's muscles, tendons, and joints.''","अपनी पुस्तक 'ऑन आर्ट' में, नंदलाल शरीर रचना विज्ञान की कलात्मक समझ के बारे में विस्तार से बताते हैं, ""सही ज्ञान और अनुभूति प्राप्त करने के लिए किसी भी कलाकार को इंसानों और जानवरों का अध्ययन तब करना चाहिए जब वे चल रहे हों या सक्रिय हों: अर्थात उस वक़्त जब कोई भी यह अध्ययन कर सके कि उनके शरीर की मासपेशियाँ, नसें और जोड़ क्यों और किस प्रकार गतिविधि करते हैं ।"
The artistic work illustrated by the great Indian artist Nandal Bose.,यह कलात्मक रचना महान भारतीय कलाकार नंदलाल बोस द्वारा चित्रित है।
"The great Indian artist Nandalal Bose preferred drawing from life, often sketching outdoors with the subject being nature studies, landscapes, figure drawings, and animals.","महान भारतीय कलाकार नंदलाल बोस, जीवन से प्रेरित होकर आरेखण करना पसंद करते थे और अक्सर प्रकृति अध्ययनों, भूदृश्यों, आकृति आरेखों, और जानवरों जैसे विषयों पर बाहर बैठकर रेखाचित्र बनाते थे।"
"Jaya Appasamy in her essay, 'Nandalal - Master Draughtsmen' in the book, 'Nandalal Bose (1882-1966) Centenary Exhibition' elucidates, ""In the drawings, the background is left bare and the brush strokes, dark and light build up a tonal picture. The unfinished wet quality of some of these works is part of the idiom.''","जैसा कि जया अप्पासामी 'नंदलाल बोस (1882-1966) सेंटेनरी एग्ज़िबिशन' पुस्तक में अपने लेख 'नंदलाल- मास्टर ड्राफ्ट्समैन' में लिखती हैं, ''आरेखों में पृष्ठभूमि को खाली छोड़ दिया गया है और कूँची की गहरी और हल्की रेखाएँ, रंग-युक्त तस्वीर का निर्माण करती हैं। इनमें से कुछ रचनाओं की नमी-युक्त गुणवत्ता से आने वाला अधूरापन, उनकी विशिष्ट शैली का एक हिस्सा है।"""
Nandalal's small sketches are testimony of his keen observation and empathy for the environment in which he lived.,नंदलाल के छोटे-छोटे रेखाचित्र उस वातावरण के प्रति उनके गहन अवलोकन और सहानुभूति का प्रमाण हैं जिससे वे घिरे रहते थे।
"Dinkar Kowshik in his article 'Drawings and Sketches of Nandalal' in the book, ""Nandalal Bose - A collection of Essays"" has written of Nandalal's sketches and drawings - ""Much of his (Nandalal) strength and sensitive wealth finds expression in the spontaneity of his sketches. They are a veritable treasure of shrewd observation, powerful calligraphy, psychological insight, rich sallies of humour, and emphatic portrayal of the flora and fauna.""","दिनकर कौशिक “नंदलाल बोस - अ कलेक्शन ऑफ़ एस्सेज़” नामक पुस्तक में अपने लेख, ‘ड्रॉइंग्स, एंड स्केचेस ऑफ़ नंदलाल बोस’ में लिखते हैं “उनके (नंदलाल के) अधिकांश गुण और संवेदनशील संपत्ति, उनके रेखाचित्र बनाने की सहजता में निखर कर आते हैं। वे तीक्ष्ण अवलोकन, प्रभावशाली सुलेख, मनोवैज्ञानिक अंतर्दृष्टि, हास्य से समृद्ध हाज़िरजवाबी और वनस्पति और जीव-जंतुओं के सशक्त चित्रण का एक वास्तविक खज़ाना हैं।"""
An Indian artist Nandalal Bose known for his magnificent postcard-sized sketches.,भारतीय कलाकार नंदलाल बोस अपने पोस्टकार्ड-आकार के शानदार रेखाचित्रों के लिए प्रसिद्ध हैं।
"Nandalal’s exploration of the different ways of delineating a line allowed him to experiment with its varying forms adding rhythm, vigour, and life to the form of his figures","नंदलाल के, एक रेखा को भिन्न-भिन्न तरीकों से चित्रित करने के अन्वेषण ने, अपनी आकृतियों को लय, ओज और जीवन प्रदान करते हुए, उन्हें रेखाओं के विभिन्न रूपों के साथ प्रयोग करने में सक्षम बनाया।"
"In this monochromatic sketch, he has rendered a landscape with light washes of ink in tonal variation creating the natural form of the scene and adding depth in the composition.","इस एकरंग के रेखाचित्र में, उन्होंने एक भूदृश्य को, रंग-संबंधी विविधता में स्याही के हल्के रंग के साथ निरूपित किया है, जो दृश्य के प्राकृतिक रूप का सृजन करता है और रचना को गहराई प्रदान करता है।"
"Often the sketches were small in scale although invigorating with the rich detailing of the artist's observations, experiences, and sojourns to various places.","उनके रेखाचित्र अक्सर छोटे पैमाने पर होते थे, फिर भी कलाकार के अवलोकनों, अनुभवों और विभिन्न स्थानों पर अल्पावास के समृद्ध विवरण से परिपूर्ण होते थे।"
His smaller sketches are testimony of Nandalal's keenness to observe and his empathy for the environment in which he lived,"उनके छोटे रेखाचित्र, नंदलाल के अवलोकन की कुशाग्रता और जिस वातावरण में वे रहते थे, उसके प्रति उनकी सहानुभूति के प्रमाण हैं।"
An Indian artist Nandalal Bose known for his magnificent postcard-sized sketches.,भारतीय कलाकार नंदलाल बोस अपने पोस्टकार्ड-आकार के शानदार रेखाचित्रों के लिए जाने जाते हैं।
"A major portion of the museum's collection includes monochromatic pencil sketches, pen and ink drawings on postcard and paper, watercolor paintings and sketches apart from the more detailed and elaborate tempera and wash paintings, Haripura posters and prints from the artist's extensive oeuvre.","संग्रहालय के संग्रह का एक बड़ा हिस्सा कलाकार की व्यापक कृतियों से मिलकर बना है जिसमें उनके द्वारा बनाए गए एकरंगे पेंसिल रेखाचित्रों, पोस्टकार्ड और कागज़ पर कलम और स्याही के आरेखों, जल रंग चित्रकारियों और रेखाचित्रों के अलावा, अधिक ब्योरेवार तथा विस्तृत टेम्परा और वॉश चित्रकारियाँ, और हरिपुरा पोस्टर एवं प्रिंट शामिल हैं।"
