WID,English,Hindi,
1,"abandoned cargo","परि‍त्यक्त माल",
2,"abandonment of claim","दावे का परि‍त्याग",
3,"abatement","कमी",
4,"abatement of duty","शुल्क में कमी",
5,"abatement of purchase money","क्रय धन में कमी",
6,"abdication","अधि‍कार-त्याग , पद-त्याग",
7,"ability to invest","नि‍वेश क्षमता",
8,"ability to pay","भुगतान क्षमता",
9,"abnormal demand","असामान्य मांग",
10,"abnormal method of finance","वि‍त्तपोषण की असामान्य प्रणाली ,वि‍त्तपोषण की असामान्य पद्धति‍",
11,"abnormal price","असामान्य कीमत",
12,"abnormal profit","असामान्य लाभ",
13,"aboard","जहाज पर, पोत पर",
14,"abolition","समाप्ति",
15,"above from liability","दायि‍त्व से मुक्ति पाना",
16,"above par value","अधि‍मूल्य पर",
17,"above the line provision","लाभ नि‍कालने के पहले प्रावधान",
18,"abrasion of coins","सि‍क्कों की घि‍साई",
19,"abridgement of  damages","हर्जाना कम करना",
20,"absconding debtor","फरार देनदार",
21,"absentee capitalism","दूरवासी पूंजी प्रथा",
22,"absentee owner","दूरवासी स्वामी, अनुपस्थि‍त स्वामी",
23,"absentee statement","अनुपस्थि‍ति-वि‍वरण",
24,"absenteeism rate","अनुपस्थि‍ति-दर",
25,"absolute acceptance","नि‍रपेक्ष स्वीकृति",
26,"absolute amount","समग्र राशि",
27,"absolute assignment","पूर्ण समनुदेशन",
28,"absolute authority","पूर्ण प्राधि‍कारी",
29,"absolute contract","नि‍रपेक्ष संवि‍दा",
30,"absolute conveyance","पूर्ण हस्तांतरण",
31,"absolute conviction","पूर्ण धारणा ,पूर्ण वि‍श्वास",
32,"absolute estate","नि‍र्बाध संपदा",
33,"absolute family wage","नि‍रपेक्ष परि‍वार मजदूरी",
34,"absolute monopoly","पूर्ण एकाधि‍कार, नि‍रपेक्ष एकाधि‍कार",
35,"absolute necessities","अत्यावश्यक वस्तुएं",
36,"absolute owner","पूर्ण स्वामी",
37,"absolute ownership","पूर्ण स्वामि‍त्व",
38,"absolute power","पूर्ण शक्ति",
39,"absolute property","नि‍र्बाध संपत्ति",
40,"absolute sale","नि‍रपेक्ष बि‍क्री",
41,"absolute surplus value","नि‍रपेक्ष बेशी मूल्य",
42,"absolute title","पूर्ण स्वत्वाधि‍कार ,पूर्ण हक",
43,"absolute value","नि‍रपेक्ष मूल्य",
