Word ,Meaning 
abculture,1. अपसंवर्धन 2. अपसंवर्ध
abiogenesis,अजीवात्जनन
abioseston,अजैव संप्लवक
abiotic,"अजीवीय, अजैव"
abiotic environment,"अजीवीय पर्यावरण, अजैव  पर्यावरण"
abiotic factor,अजीवीय कारक
ablation,अपक्षरण
abrasion,अपघर्षण
abortive,1. रुद्धवृद्धि 2. विफल
abscission,1. विलगन 2. उत्पाटन
absolute,1. परिशुद्ध 2. पूर्ण 3. निरपेक्ष
absolute growth rate,परम वृद्धि दर
absolute humidity,निरपेक्ष आर्द्रता
absolute temperature,परम ताप
absorbate,अवशोषित
absorbent,अवशोषक
absorption,अवशोषण
absorption coefficient,अवशोषण गुणांक
absorption loss,अवशोषण ह्रास
absorption rate,अवशोषण दर
abstraction,अपाहरण
abstriction,अपाकुंचन
abundant,बहुल
abysmal,नितलीय
abyssal,वितलीय
abysaal zone,वितलीय क्षेत्र
acceleration,त्वरण
accessory,"1. अतिरिक्त, सहायक, गौण 2. उपसाधन"
accessory mineral,गौण खनिज
acclimatic,"पर्यनुकूली, पर्यनुकूलनसंबंधी"
acclimation,पर्यनुकूलन
acclimatization,दशानुकूलन
accommodation,वास
accumulation,संचयन
accumulator plant,धातुसंकेती पादप
acid,अम्ल
acid clay,अम्ल मृत्तिका
acid deposition,अम्ल निक्षेपण
acid droplet,अम्ल बिंदुक
acid indicator,अम्ल सूचक
acid rain,अम्ल वर्षा
acid precipitation,1. अम्ल अवक्षेपण 2. अम्ल वर्षण
acid resistant,अम्ल प्रतिरोधी
acid rinse,अम्ल प्रक्षालन
acidic,1. अम्लीय 2. अधिसिलिक
acidity,अम्लता
acidize,अम्लन
acidophile,1. अम्लरागी 2. अम्लरंजी
acidophillic,1. अम्लरागी 2. अम्लरंजी
acidophobic,अम्लविरागी
acidotrophic,अम्लपोषी
acoustic,ध्वानिक
acoustic compliance,ध्वानिक अनुवृत्ति
acoustic reduction factor,ध्वानिक न्यूनन गुणक
acoustics,ध्वानिकी
acoustomotive pressure (sound pressure),ध्वनि दाब
acquired adaptation,उपार्जित अनुकूलन
acquired caharacter,उपार्जित लक्षण
acquired immunity,उपार्जित प्रतिरक्षा
actinomorphic,त्रिज्यासममित
action spectrum,क्रिया स्पेक्ट्रम
activated carbon process,सक्रियित कार्बन प्रक्रम
activated charcoal,सक्रियित चारकोल
activated sludge,सक्रियित आपंक
activated sludge process,सक्रियित आपंक प्रक्रम
activation,सक्रियण
active control,सक्रिय नियंत्रण
acute,1. उग्र 2. निशिताग्र
acute exposure,1. उग्र उद्भासन 2. चरम उद्भासन
adaptation,अनुकूलन
adaptive selection,अनूकूली वरण
additive,1. योज्य 2. योगज
adenosine triphosphate (ATP),ऐडेनोसिन ट्राइफॉस्फेट
adiabatic,रुद्धोष्म
adhesive,आसंजक
adjustment,"समायोजन, समंजन"
adsorb,अधिशोषण करना
adsorbent,अधिशोषक
adsorption,अधिशोषण
adulterant,अपमिश्रक
adulteration,"अपमिश्रण, मिलावट"
advanced waste treatment,उन्नत अपशिष्ट उपचार
advection,अभिवहन
adventitious root,अपस्थानिक मूल
adventive plant,आगंतुक पौधा
aeolian soil,वातोढ़ मृदा
aeration,वातन
aerial,"वायव, हवाई"
aerial photography,"वायव फोटोग्राफी, हवाई फोटोग्राफी"
aerobic,1. वायुजीव 2. वायवी
aerobic composting,वायुजीवी कम्पोस्टन
aerobic respiration,वायवी श्वसन
aerodynamic,वायुगतिक
aerology,वायुविज्ञान
aeroplankton,वायुप्लवक
aeroponics,वायव संवर्धन
aerosol,"वायुविलय, ऐरोसॉल"
aesthetic degradation,सौंदर्य निम्नीकरण
aestivation,agricultural waste
aestivation,"1. ग्रीष्म-निष्क्रियता , 2. पुष्पदल-विन्यास"
affinity,बंधुता
afforestation,"वनरोपण, वनीकरण"
aflatoxin,एफ्लाटॉक्सिन
after ripening,अनुपक्वन
aftershock rate,उत्तराघात दर
agamospermy,अनिषेकबीजता
agar-agar,ऐगार-ऐगार
ageing period,काल-प्रभावन अवधि
agglomeration,संपिंडन
agglutination,समूहन
aggregate,समुच्चय
aggressive species,आक्रामक जाति
agitator,प्रक्षोभक
agricultural ecosystem,कृषि पारितंत्र
agricultural pollution,कृषि प्रदूषण
agricultural runoff,कृषि (जल) वाह
agricultural technology,कृषि प्रौद्योगिकी
agricultural waste,कृषि अपशिष्ट
agriculture,कृषि
agriculturist,1. कृषिविज्ञानी 2. कृषक
agrobiology,कृषिजैविकी
agroecology,कृषि-पारिस्थितिकी
agrology,सस्य-मृदाविज्ञान
agronomy,सस्यविज्ञान
agrophilous,सस्य-मृदारागी
agrostology,घासविज्ञान
air binding,वायु संरोधन
air blast,"वात्या, हवा का झोंका"
air borne,1. वातोढ़ 2. वायु वाहित
air chamber,वायु कक्ष
air classifier,वायु वर्गित्र
air clearing,वायु निर्मलन
air combustion,वायु दहन
air conduction,वायु चालन
air contaminant,वायु संदूषक
air injection,वायु अंतःक्षेपण
air lock,वायु अभिबंधक
air monitoring station,वायु मॉनीटरन केंद्र
air movement,वायु संचलन
air parcel,वायु राशि
air permeability,वायु पारगम्यता
air pollutant,वायु प्रदूषक
air pollution,वायु प्रदूषण
air pollution index,वायु प्रदूषणांक
air pollution monitoring,वायु प्रदूषण मॉनीटरन
air pollution source,वायु प्रदूषण स्रोत
air pressure,वायु दाब
air quality,वायु गुणता
air quality mapping,वायु गुणता मानचित्रण
air sample,"वायु प्रतिदर्श, वायु नमूना"
air sampling,वायु प्रतिचयन
air sampling trap,वायु प्रतिचयन विपाश
Aitken counter,ऐटकेन गणित्र
albedo,ऐल्बिडो
albinism,रंजकहीनता
albino,1. वर्णकहीन पादप 2. वर्णकहीन जीव
alcohol dehydrogenase,ऐल्कोहॉल डिहाइड्रोजनेस
aleurone grain,ऐल्युरोन कण
algae,शैवाल
algal bloom,शैवाल प्रस्फुटन
algicide,शैवालनाशी
aliphatic,ऐलिफैटिक
alkali,क्षार
alkaline,क्षारीय
alkaloid,ऐल्केलॉइड
allele,"युग्मविकल्पी, ऐलील"
allelomorph,युग्मरूपी (युग्मरूप)
allelopathy,"युग्मविकल्पी अपकारिता, ऐलीलोपैथी"
allergen,"प्रत्यूर्जक, एलर्जन"
allergy,"प्रत्यूर्जता, एलर्जी"
allochronic speciation,असमकालिक जाति-उद्भवन
allogenic succession,अपरजनिक अनुक्रमण
allotropy,अपररूपता
alloy,मिश्रातु
alluvial soil,जलोढ़ मृदा
alpine,"आल्पीय, ऐल्पाइन"
alternation of generation,पीढ़ी एकांतरण
alternative source of energey,वैकल्पिक ऊर्जा स्रोत
altimeter,तुंगतामापी
altitude,तुंगता
ambience,परिवेश
ambient,परिवेशी
ambient air quality monitoring,परिवेश वायु गुणता     मॉनीटरन
ambient air quality standard,परिवेश वायु गुणता मानक
ambient teamperature,परिवेश ताप
amensalism,संदमनी स्पर्धा
amino acid,ऐमीनो अम्ल
ammonification,अमोनीकरण
amount of discharge,विसर्जन मात्रा
amount of ground water withdrawal,भौमजल निकासी मात्रा
amperometry,ऐम्पियरमिति
amphibious,"उभयचरी, जलस्थली"
amplification,प्रवर्धन
amylase,एमिलेस
anabolism,उपचय
anaerobe,अवायुजीव
anaerobic sludge,अवायवी आपंक
analysis,विश्लेषण
analysis of variance,प्रसरण विश्लेषण
anatomical,शारीरीय
anhydrous,निर्जल
anemometer,पवनवेगमापी
anemotaxis,वातानुचलन
anemotropism,वातानुवर्तन
angiosperm,आवृतबीजी
angle of incidence,आपतन कोण
angular distance,कोणीय दूरी
animal distribution,प्राणि वितरण
animal ecology,प्राणि पारिस्थितिकी
animal kingdom,प्राणि जगत्‌
anionic exchnager,ऋणायनी विनिमयक
annual cycle,वार्षिक चक्र
annual plant,वार्षिक पौधा
annual ring,वार्षिक वलय
antagonistic,विरोधी
antagonistic symbiosis,विरोधी सहजीवन
antarctic region,दक्षिण-ध्रुवीय प्रदेश
anthropogenic source,मानवजनित स्रोत
anthropology,मानवविज्ञान
anthrosol,"प्रतिजीवन, प्रतिजीविता"
antibiotic,प्रतिजैविक
antibody,प्रतिरक्षी
anticoagulant,प्रतिस्कंदक
anticyclone,प्रतिचक्रवात
antiknock additive,अपस्फोटरोधी योज्य
antioxidant,प्रतिऑक्सीकारक
antitoxin,प्रतिआविष
aperture,छिद्र
aphotic zone,अप्रकाशी क्षेत्र
apogamy,अपयुग्मन
apparent colour,आभासी रंग
apparent competition,दृष्ट स्पर्धा
application,अनुप्रयोग
aquaculture,"जलकृषि, जलसंवर्धन"
aquasol,जल-विलय
aquatic,जलीय
aquatic adaptation,जलीय अनुकूलन
aquatic ecosystem,जलीय पारितंत्र
aqueous,जलीय
aquifer,जलभृत्‌
arboricultture,वृक्षसंवर्धन
arctic region,उत्तर-ध्रुवीय प्रदेश
area method,क्षेत्र विधि
arenaceous,बालुकामय
arid,शुष्क
arid climate,शुष्क जलवायु
arid homoclimate,शुष्क समजलवायु
arid region,शुष्क क्षेत्र
arid zone,शुष्क प्रदेश
aromatic compound,सगंध यौगिक
aromatic plant,सगंध पादप
artesian water,उत्स्त्रुत जल
artificial earthquake,कृत्रिम भूकंप
artificial rain,कृत्रिम वर्षा
artificial rainfall,कृत्रिम वर्षापात
artificial recharge,कृत्रिम पुनर्भरण
asbestosis,ऐस्बेस्टॉसमयता
ash,1. राख 2. भस्म
assimilation,स्वांगीकरण
association,सहसंघ
asymmetrical,असममित
atmometer,वाष्पनमापी
atmosphere,वायुमंडल
atmospheric composition,वायुमंडलीय संयोजन
atmospheric diffusion,वायुमंडलीय विसरण
atmospheric distrubance,वायुमंडलीय विक्षोभ
atmospheric draught,वायुमंडलीय प्रवात
atmospheric loading,वायुमंडलीय भारण
atmospheric pollution,वायुमंडलीय प्रदूषण
atmospheric pressure,वायुमंडलीय दाब
atmospheric temperature,वायुमंडलीय ताप
atmospheric turbulence,वायुमंडलीय प्रक्षोभ
atomic energy,परमाणु ऊर्जा
atomic fission,परमाणु विखंडन
atomic radiation,परमाणु विकिरण
atomic waste,परमाणु अपशिष्ट
atrophy,1. क्षीणता 2. अपुष्टता
attenuation,क्षीणन
attitude                   ,अभिवृत्ति
audiogram,श्रव्यता-आलेख
audiometer,श्रव्यतामापी
autobiology,स्वजैविकी
autoclave,ऑटोक्लेव
autocoprophagy,स्वशमलभोजिता
autoecious,एकाश्रयी
autoecology,स्वपारिस्थितिकी
autogamy,स्वकयुग्मन
autogenic succession,स्वगत अनुक्रमण
autolysis,स्वलयन
automatic reading,स्वतः वाचन
automatic sampler,स्वतः प्रतिचयित्र
automatic weather station,स्वचालित मौसम केंद्र
automation,स्वचालन
automobile emission,"मोटर-वाहन उत्सर्जन, ऑटोमोबाइल उत्सर्जन"
automobile exhaust,"मोटर-वाहन निर्वातक,     ऑटोमोबाइल निर्वातक"
autotrophy,स्वपोषण
autotrophic organism,स्वपोषी जीव
auxillary,1. सहायक 2. अतिरिक्त
auxotroph,असर्वसंश्लेषी
available water,प्राप्य जल
avalanche,1. हिमधाव 2. अवधाव
average,औसत
avicide,पक्षिनाशी
bioaccumulants,जैवसंचयक
biogeographical realm,जैवभौगोलिक परिमंडल
biogeography,जैवभूगोल
best available control technology (BACT),सर्वोत्तम उपलब्ध नियंत्रण प्रौद्योगिकी
B-horizon,बी-संस्तर
