English,Hindi
aback,अचानक;एकाएक;पीछे
abandoned,छोड़ा हुआ;निर्जन
abatement,कमी;घटती;घटाव;मन्दापन;बट्टा
abbey,ईसाइयो का मठ;गुरुद्वारा;कुटी
abbot,महन्त;मठधारी;मठाधिकारी
abbreviation,संक्षेप;घटाव;सार;लघुरूप;संकेत
abdication,पद त्याग
abdomen,पेड़;पेट;कुक्षी;उदर
abdominal,उदर सम्बन्धी;पेट का
aberration,भ्रम;विक्षेप;भूल;च्युति
abeyance,क्षणिक विराम;विलंब;ठहराव
abhor,झिझकना
abhorrence,घृणा;विद्वेष;झिझक
ability,योग्यता;निपुणता;प्रवीणता
abject,कमीना;नीच;बुरा;अधम;पतित
ablaze,जलता हुआ;प्रज्वलित
able,चतुर;प्रवीण;गुणवान;समर्थ
abnormal,असाधारण;असामान्य;नियमविरुद्ध
aboard,जहाज पर;नौका पर;जलयान में
abode,घर;मकान;ड़ेरा;निवास स्थान
abolition,लोप;नाश;टूट;मिटाव;उठाव
abominable,घृणित;घृणा योग्य;बुरा;घिनौना
abomination,घृणा;विद्वेष;अपविघ्नता
aborigines,प्राचीन देशवासी;आदि निवासी
abortion,गर्भपात;पेट गिरना
abortive,अधूरा;कच्चा;अपूर्ण काल;निष्फल
abound,बहुतायत
ablation,रगड़;घिसन
abroad,बाहर;परदेश में;देश से बाहर
abrogation,रद्द;निष्प्रभावी
abrupt,विषम;ऊंचा-नीचा
abruptly,शीघ्रता से;अकस्मात;अचानक
absence,अनुपस्थिति;गैरहाजिरी;परोक्ष
absent,अनुपस्थित;अवर्तमान;गैरहाजिर
absentee,अनुपस्थित जन;प्रवासी
absolute,स्वेच्छाचारी;स्वतंत्र;स्वाधीन
absolutely,स्वेच्छापूर्वक;निपट;निरा
abstract,सारांश;तत्व;संक्षेप
abstraction,बेसुधी;पृथक्करण
absurd,बुद्धिविरुद्ध;न्यायविरुद्ध
absurdity,अनर्थकता;असंगति;मूर्खता
abundant,ढेर;अधिक;बहुत;घनेरा;पर्याप्त
abuse,बुरा बर्ताव;अनुचित व्यवहार
abusive,निन्दक कुत्सावादी
abyss,गहरा कुंड;अतल समुद्र;नरक कुंड
academic,अक्रियात्मक;सिद्धांत विषयक
accede,स्वीकारना
accent,स्वर;आघात
acceptable,मनभावना;स्वीकारयोग्य;भला
acceptance,स्वीकार;प्रतिग्रह;स्वागत
access,पहुंच;पथ;मार्ग;प्रवेश;वृद्धि
accessible,अभिगम्य;पहुंचने योग्य;सुलभ
accession,वृद्धि;बढती;पहुंच;आरोहण
accessory,सहायक;अधिक;सहित
accident,संयोग;घटना;दैवयोग;विपद
accidental,सांयोगिक;अकस्माती;दैवायत्त
accommodation,जगह;स्थान;गृह;निवास स्थान
accomplished,विद्यासंपन्न;सुशिक्षित;प्रवीण
accomplishment,परिपूर्णता;प्राप्ति;सिद्धि
accord,मेल;मिलाप;संमति;एकचित्तता
accordance,मेल;एकता;ताल-मेल;समानता
according,समान;अनुसार;अनुरूप
accordingly,तदनुसार;इस कारण से;इसलिये
account,गणना;लेखा;हिसाब;वर्णन;कथा
accountable,उत्तरदायी;जिम्मेदार
accountancy,हिसाब-किताब
accountant,मुनीम
accumulation,ढेर;संचय;जमाव;बटोर
accuracy,शुद्धता;यथार्थता;सत्यता
accurate,सही;ठीक;यथार्थ;शुद्ध;अचूक
accuse,दोष लगाना;अपराधी ठहराना
accused,अभियुक्त;मुलाजिम
accustomed,अभ्यस्त;परिचित;आदि;अभ्यासी
ace,इक्का;बिन्दी;इकाई
ache,पीड़ा;दर्द;वेदना;व्यथा
achievement,पराक्रम
acid,अम्ल;खट्टा;तुर्श;तीक्ष्ण
acidity,खट्टापन;तुर्शी;अम्लता
acknowledgement,स्वीकार;अंगीकार;रसीद;धन्यवाद
acme,पराकाष्ठा;शिखर;ऊंचाई की सीमा
acquainted,परिचित;अभ्यस्त;अभिज्ञ
acquiescence,प्रसन्नता पूर्वक अंगीकार
acquisition,उपार्जन;प्राप्ति;लाभ
acquittal,छुटकारा;मुक्ति;रिहाई
acre,एकड़
acrid,चरपरा;कड़ुआ;तीता;झालदार;गरम
acrimony,कड़ुवापन;तेजी;चरपराहट;कठोरता
acrobat,नट;नेटुआ
across,आरपार;आड़ा;बड़ा;तिरछा;पार
acting,स्थानपन्न;एवज
action,काम;क्रिया;कार्य;व्यापार
active,कर्ता;गुणी;क्रियाशील;उद्यमी
activity,फुर्ती;शीघ्रता;वेग;उद्योगिता
actual,यथार्थ;ठीक;सत्य निश्चय
actuality,वास्तविकता;यथार्थता;सत्यता
actually,वस्तुत:;वास्तव में;सचमुच
actuary,मुंशी;लेखक;मुहर्रिर;मुनीम
acumen,तीव्र दृष्टि;चतुरता
acute,तीक्ष्ण;तीव्र;चतुर;चालाक;तेज
adage,कहावत;मसल;प्रवाद;वचन;उक्ति
adamant,हीरा;मणि;अटल;वज्र
adaptation,मेल;संयोग;समतुल्यता;अनुकूलता
add,जोड़ना;बढाना;मिलाना;लगाना
addict,आदत डालना
addition,जोड़;संकलन;योग;आधिक्य;अधिकता
additional,अतिरिक्त;अधिक;अपर;अधिकतर
addle,ऊसर;निकम्मा;गंदा;सड़ा;खाली
address,भाषण;व्याख्यान;संबोधन
adept,दक्ष;प्रवीण;निपुण;पक्का;गुणी
adequate,तुल्य;बराबर;काफी;पर्याप्त
adherence,प्रेम;लगाव;भक्ति;धैर्य
adherent,साथी;अनुयायी;सहायक;पक्षीय
adjacent,पास का;निकटवर्ती;सटा हुआ
adjective,आश्रित;अवलम्बित;विशेषण
adjoining,समीप;निकटवर्ती;पास का;लगा हुआ
adjunct,सहित;संयुक्त;मिला हुआ;जोड़
adjustment,फैसला;सुधार;समाधान;समायोग
adjutant,गरुण;खगेश;हरगील
administration,कारोबार का प्रबन्ध
administrative,प्रबंधकारी शासन संबन्धी;कुशल
admiralty,जलसेना विभा
admissibility,ग्राह्यता
admission,प्रवेश;पैठ;पहुंच;प्रवेशन
admonish,समझाना;नम्रता से झिड़कना
admonition,डांट;परामर्श;शिक्षा;उपदेश
ado,श्रम;कष्ट;दौड़ धूप;बखेड़ा;झमेला
adolescence,किशोरावस्था;युवावस्था;जवानी
adolescent,किशोर;युवक;तरुण
adoption,स्वीकार;गोद लेना;पुत्रीकरण
adrift,इधर उधर;बहता हुआ;ड़ावांड़ोल
adroit,चतुर;निपुण;दक्ष;धूर्त;चालाक
adulation,चापलूसी;चिकनी चुपड़ी बातें
adult,परिपक्व;तरुण;वय:प्राप्त;पौढ
adulterate,मिलाकर बिगाड़ना;खोट मिलाना
adultery,व्यभिचार;परस्त्रीगमन;जारकर्म
advance,उन्नति;बढोतरी;वेशी;बढती;पेशगी
advancement,उन्नति;वृद्धि;उत्कर्ष;अभ्युदय
advantage,बढत;आधिक्य;भला अवसर;सुअवसर;फल
advantageous,लाभदायक;हितकारी;उपकारी
advent,यशूक्रीस्त का आगमन
adventure,साहस;देवाधीन कर्म
adventurer,साहसिक;साहस व्यवसायी
adventurous,सूरमा;बहादुर;साहसी;शूरवीर
adversary,रिपु;शत्रु;अरि;विरोधी;वादी
adverse,प्रतिकूल;विपरीत;विरुद्ध;अभागा
adversity,आपदा;विपत्ति;दु:ख;दुर्भाग्य
advertisement,विज्ञापन
advice,सलाह;परामर्श;मंत्र;उपदेश;खबर
advisable,उचित;योग्य;चाहने योग्य
advisory,परामर्श देने वाली;शिक्षाप्रद
advocacy,वकालत;बहस;पक्षसमर्थन;सिफारिश
aerial,नभस्थ;आकाशज;हवाई;आसमानी
aeroplane,वायुयान
afar,फासले पर;दूर;बहुत परे
affable,मिलनसार;सुशील;मधुर भाषी
affair,काम;कार्य;व्यापार;उद्यम
affection,प्रेम;स्नेह;मोह;लगाव;अनुराग
affectionate,प्यारा;प्रेमी;स्नेही;प्रिय
affectionately,प्यार से;प्रेम से;स्नेह से
affidavit,शपथ लेख;शपथ पत्र
affinity,सम्बन्ध;रिश्तेदारी
affirmation,धर्मानुकूल कहना;दृढ वचन
affirmative,स्वीकार सूचक;इकरारी
affix,प्रत्यय
affliction,दु:ख;शोक;कष्ट;व्यथा;विपद;रोग
affluence,बहुतायात;बाहुल्य;विपुलता
affluent,समृद्ध;परिपूर्ण;भरापूरा;धनी
afford,खर्च कर सकना;खरीद सकना
affront,अपमान;निरादर;अवज्ञा;तिरस्कार
afield,खेत में;मैदान में;खेत को
aflame,जलता हुआ;प्रज्वलित
afloat,बहता हुआ;तैरता हुआ;पानी पर
afoot,पांव पांव;पैदल चलकर
afraid,डरा हुआ;भयभीत;कान खड़े;भीरु
aft,पीछे
afternoon,दुपहर के बाद;तीसरा पहर
afterthought,पीछे का विचार
afterward,तत्पश्चात;इसके बाद;पीछे
agate,सुलेमानी पत्थर;यश
age,जीवन काल;अवस्था;आयु
aged,वयोवृद्ध;बुड़्ढा;आयु का
agency,कर्तृत्व;गुमाश्तागीरी
agenda,करने वाली कार्यवाही
agent,गुमाश्ता;मुनीम;आढतिया
aggravation,अधिकाई;बुराई;संगीनी;भड़काव
aggregate,कुल;सकल;सब;समुदित
aggression,आक्रमण;आघात;चढाई;छेड़;अपहरण
aggressor,छेड़नहार
aghast,हक्का बक्का;भौंचक्का;व्याकुल
agile,फुर्तीला;चालाक;तेज;चपल
agitate,खलबली डालना;भड़काना;हलचल मचाना
agitation,उमड़;धड़क;घबराहट;हैरानी;हलचल
ago,बीता हुआ;पूर्व
agony,अति पीड़ा;सन्ताप;व्यथा;वेदना
agrarian,भूमि विषयक;भूमि सम्बन्धी
agreeable,उपयोगी;मनभावन;सुहावना;प्रिय
agreement,ऐक्य;सम्मति;ताल मेल;संविद
agricultural,खेती बारी का;कृषि सम्बन्धी
agriculture,खेती;कृषि
ah,विस्मय;दया;घृणा
ahead,आगे;अगाड़ी;बढ के;सामने
aid,मदद;सहारा;सहायता;रक्षा;पालन
ail,बीमारी;रोग
ailment,कष्ट;पीड़ा;रोग;बीमारी;व्याधि
aim,लक्ष्य साधन;निशाना;ताक;सीध
aimless,लक्ष्य रहित;बिना उद्देश्य का
air,वायु;समीर;हवा;पवन;वायुमंड़ल
aircraft,वायुया
airs,अकड़;घमंड़;शेखी
airship,वायुया
airy,हवादार;वायुमय;हलका फुलका
aisle,रास्ता
akin,सगा;नातेदार;सगोत्र;सजातीय
alabaster,सेल खरी
alacrity,मुस्तैदी;प्रफुल्लता;चालाकी
alarm,भयध्वनि;शोरगुल;झप;भय;शंका
alarming,डरावना;भयानक;भयप्रद
alas,आह;शोक;हाय;अह:;हा
albeit,अगरचे;यद्यपि;तिस्पर भी
alchemy,रसायन विद्या;कोमिया;रसविद्या
alcohol,सुरासार;निर्मल मदिरा
alcove,गुफा;कुन्ज;कुटी
alderman,नगर का शासक;पुराध्यक्ष
ale,मद्य;जौ की शराब;यवसुरा;शराब
alert,होशियार;चौकस;सचेत;सावधान
algebra,बीजगणित;व्यक्तगणित
alias,उपनाम;दूसरा नाम;कल्पित नाम
alien,भिन्न स्वभाव का;विमुख;विदेशी
alienation,विक्री;बेची;हस्तान्तरित करण
alight,प्रदीप्त;जलता हुआ;नीचे आना
align,पंक्ति लगाना;पांत बांधना
alignment,रेखा;पंक्ति
alike,एक प्रकार;समान;सदृश;तुल्य
alive,सजीव;जीता;खुश;चालाक;सचेतन
alkaline,क्षारविशिष्ट
allegation,आरोप;दृढ वचन;निश्चित उत्तर
allegiance,राजभक्ति;आज्ञापालन;अधीनता
allegory,रूपक;दृष्टान्त;दृष्टान्ती
alley,सकरी गली;पथ;वीथी
alliance;मेल;एका;नाता;संधि;सम्बन्धन
alligator,मगर;घड़ियाल;ग्राह
allotment,बटाई;बटवारा;विभाग;अंश;भाग
allowance,आज्ञा;स्वीकार;अनुयदि;स्वीकार
alloy,मिलौनी;कुधातु;खोट धातु;मिलाना
allure,लुभाना;रिझाना;फुसलाना;मोहना
ally,मित्र;साथी;मित्रताना;संधिना
almanac,पत्रा;जन्त्री;पंचांग
almighty,सर्वशक्तिमान
almond,बादाम
almost,अधिकतर;लगभग;प्राय:;करीब करीब
aloft,ऊंचा;ऊपर;मस्तूल पर
alone,अकेला;लम्बाई में;आगे
along,बराबर बराबर;साथ साथ;बिलकुल
aloof,पृथक;न्यारा;अलग दूर;परे
aloud,चिल्ला कर;ऊंचे स्वर से
alphabet,वर्णमाला
alphabetical,वर्णमाला सम्बन्धी
already,पहले से;अभी;पहले;इसी समय
altar,वेदी;अग्निहोत्र का स्थान
alteration,परिवर्तन;फेराफेर;काटकूट
altercation,झगड़़ ा;विवाद;बहस;वादविवाद
alternate,अदल बदल का;परस्पर का;उल्टा
alternative,विकल्प
although,यद्यपि
altitude,ऊंचाई;उच्चत्व;उन्नतांश;अभिमान
altogether,सारा;सब का सब;सम्पूर्ण;निदान
altruism,पर्यायवाद
alum,फिटकिरी
aluminium,अलमुनियम
always,नित्य;सदा;लगातार;हरदम;सर्वथा
amalgamation,मेल;मिलाप;मिश्रण;मिलावट
amateur,;अप्रवीण
amaze,विस्मय;अचंभा;आश्चर्य
amazement,अचम्भा;घबराहट;आश्चर्य;विस्मय
amazing,विस्मयकारी;आश्चर्यजनक;अद्भुत
amazon,योद्धा स्त्री;वीरांगना
ambassador,राजदूत;एलची
amber,अम्बर;कहरुवा;त्रिणमणि
ambient,व्यापक
ambiguity,सन्देहार्थता;द्वयर्थक;अस्पष्ट
ambition,अभिलाषा;उमंग
ambitious,उमंगी;अभिलाषी;धुनी
amble,टहलना;धीरे धीरे चलना
ambulance,अस्पताल गाड़ी
ambush,घात
amen,ऐसा ही हो;एवमस्तु;तथास्तु
amenable,वश्य;अधीन;आज्ञा कर;उत्तरदायी
amendment,शुद्धता;सुधार;दुरुस्ती;संशोधन
amends,प्रतिफल;पारितोषिक;डांड़;बदला
amenity,मनोहरता;सुहावनापन;नरमी
amiable,सुशील;प्रिय;मनभावना;शीलवन्त
amicable,मित्रवत;हिला मिला;उपकारी
amidst,बीच में;साथ में;मध्य में
amiss,गलत;अनुचित;बेजा;बुरा;दोषी
amity,मित्रता;बन्धुत्व;मेल जोल
ammunition,लड़ाई का सामान;युद्ध सामग्री
amnesia,विस्मरण;भूल
amnesty,अपराध-क्षमा;प्राणरक्षा
amongst,बीच में;मध्य में;मिला हुआ;में
amorous,प्रणयशील;प्रेमप्रवण
amount,फलगणना;मिश्रधन;राशि
amphibious,जल-थल-चर
amphitheatre,रंगभूमि;नाचघर;अखाड़ा
ample,बहुत बड़ा;फैला हुआ
amplify,बढाना
amply,बहुतायात से;विपुलता से
amuck,पागल की तरह;उन्मत्त भाव से
amusement,आनन्ददान;आनन्द;सुख;विनोद
amusing,आमोद जनक;सुखदायक;रम्य
analogy,समानता;सादृश्य;तुल्यता;उपमा
analysis,विभाग;पदच्छेद;अन्वय;व्यवच्छेद
anarchist,बागी;अराजकतावादी
anarchy,कुप्रबन्ध;अराजकता;अशासन
anatomy,चीरफाड़;शरीर व्यवच्छेद-विद्या
ancestor,पूर्वज;बाप दादा;पितृ
ancestral,बपौती;बाप दादो का
ancestry,पितृ;श्रेणी;वंश
anchor,लंगर;आश्रय;भरोसा;शरणस्थान
anchorage,बन्दरगाह
ancient,पुराना;प्राचीन;सनातन का
ancillary,दासी;बांदी
anecdote,चुटकुला;छोटी कहानी;उपाख्यान
anew,नये प्रकार से;फिर से;दोहरा के
angel,देवदूत;स्वर्ग दूत;फरिश्ता
angelic,स्वर्ग दूत समान;दिव्य
anger,अप्रसन्नता;क्रोध;तामस;कोप;रोष
angle,कोण;कोना
angry,क्रोधित;क्रुद्ध;कुपित;सदोष
anguish,कष्ट;व्यथा;पीड़ा;दु:ख;सन्ताप
angular,कोनेदार;नुकीला;कोण
animal,जन्तु संबंधी;जान्तव;पाशविक
animation,चंचलता;साहस;जीवशक्ति;चुहल
animus,उद्देश्य;भाव;आशय;मनस
anise,सौंफ का पौधा
ankle,टखना;घुड़ी;घुटिका;पोंग;शीत लगा
annex,अंत में जोड़ना;मिला लेना
annexation,लगाव;मेल;संयोजन
annihilation,नाश;लोप;सत्यानाश;अभाव;विनाश
anniversary,वार्षिकोत्सव
announcement,विज्ञापन;सूचना;घोषणा
annoy,सताना;दु:ख पहुंचाना;खिझाना
annoyance,कष्ट;पीड़ा;दु:ख;छेड़छाड़;खिझलाहट
annual,वार्षिक;सम्वती;वार्षिक पत्र
annuitant,सालानेदार;वार्षिक वृत्तिधारी
anomalous,नियम विरुद्ध;विधि से बाहर
anomaly,नियम विरोध;कुचाल;अव्यवस्था
anonymous,बेनाम;नाम रहित
another,दूसरा;अपर;इतर;और कोई;कोई और
answer,उत्तर;हल;पक्ष समर्थन
answerable,उत्तर के योग्य;उत्तरदायी;ठीक
ant,चिऊंटी;चीटी;पिपीलिका
antagonism,विरोध;शत्रुता;लाग;बैर
antagonist,शत्रु;बैरी;अरि;विपक्षी
antelope,हिरन;मृग;चिकारा
anthem,भजन;धर्म संगीत;स्तुति
anthology,पद्य;समुदाय;पद्य संग्रह
antic,अद्भुत;विलक्षण;हंसी योग्य
anticipation,अग्रदृष्टि
antidote,प्रतिकार;विषनाशक औषधि;विष हरण
antipathy,घृणा;शत्रुता;अनिच्छा;विद्वेष
antiquated,पुराना;प्राचीन;अप्रचलित
antique,पुराना;अनोखा;निराला;प्राचीन
antiquities,प्राचीन कालीन वस्तु
antiquity,प्राचीन कालीन वस्तु
antiseptic,पूतिनाशक
antithesis,विरोध;अलंकार;अन्तर;भास तुलना
anvil,निहाई;अहरन
anxiety,चिन्ता;सोच;उत्कण्ठा;फिक्र
anxious,चिन्तित;उद्विग्न;बेचैन
anyhow,किसी प्रकार से;जैसे तैसे
anywhere,कहीं भी;किसी स्थान पर
apace,शीघ्रता से;उतावली से;तुरन्त
apart,पृथक;भिन्न;अलग;पृथक;भिन्न;अलग
apartment,कमरा;कोठरी;अन्तःपुर
apathetic,उदासीन;अनुरागहीन;बेपरवाह
apathy,उदासीनता;अनुरागहीनता;बेपरवाही
ape,बन्दर;वानर;मल्लू;कपि
aperture,छेद;झिरी;नोखा;बिल;छिद्र
apex,नाक;शीर्ष;सिरा;चोटी;पराकाष्ठा
aphorism,सूत्र;कहावत;प्रमाण;वचन
apiece,प्रत्येक;भिन्न
apocryphal,अप्रमाणिक;शंकित
apologue,कहानी;कहावत
apology,क्षमा प्रार्थना
apoplexy,मूर्छा की बीमारी;मृगी रोग
apostacy,स्वधर्म त्याग
apostasy,स्वधर्म त्याग
apostate,धर्म रहित;धर्म च्युत
apostle,ईश्वर दूत;प्रेरित
appall,डराना;भय दिलाना
apparatus,हथियार;औजार;सामग्री;सामान
apparel,कपड़ा;वस्त्र;पोषाक;वेष;पहनाना
apparent,प्रकट;दृश्य;लक्ष्य;प्रकाश
apparition,दृश्य;मूर्ति;आभास;छाया;भूत
appeal,अपील
appear,दिखलाई पड़ना;देख पड़ना
appearance,उपस्थिति;रूप;उदय;दिखावट
appellate,पुनर्विचार सम्बन्धी
appellation,पदवी;नाम;उपपद;उपाधि
appendage,जोड़ी हुई वस्तु;लटकन;पुच्छ
appendix,जोड़ी हुई वस्तु;अतिरिक्त वस्तु
appertain,सम्बन्ध रखना;सरोकार रखना
appetite,भूख;स्वाभाविक ईच्छा;प्रवृत्ति
applause,सराहना;वाह-वाह
apple,सेब
appliance,यंत्र;युक्ति;उपाय;प्रयोग
applicable,उचित;अनुकूल
applicant,प्रार्थी;याचक;निवेदक
application,प्रार्थना पत्र;परिश्रम;लगाव
appointment,नियुक्ति;वचन;वादा;स्थापन
appraise,मोल लगाना;दाम ठहराना
appreciate,मूल्य बढना;गुण पहचानना
appreciation,मूल्य का निर्णय;मूल्यावधारण
apprehend,पकड़ना;समझना;डरना
apprehension,डर;भय;शंका;अनुभव;बोध शक्ति
apprehensive,आशंकावान;भययुक्त;संदेही
apprentice,शिष्य;चेला;नौसिखिया
approach,निकटता;अवाई;समीप गमन;प्रवेश
appropriate,उचित;योग्य;उपयुक्त;फबता हुआ
approval,स्वीकृति;अङ्गीकार;अनुमोदन
approximate,लगभग;निकट;समीप;सन्निकट
approximately,लगभग
approximation,निकटागमन;समीपता;पहुंच
apricot,खूबानी
apron,एप्रन;तहबन्द
aprops,अभिप्रायानुसार;समय पर
apt,ठीक;योग्य;झुका हुआ;तत्पर
aptitude,योग्यता;तत्परता;झुकाव
aquatic,जलचर;पानी के;जलसम्बन्धीय
aqueduct,नाली;नहर
arable,कृषि योग्य;कर्षण योग्य
arbiter,पंच;न्यायकर्त्ता
arbitrary,स्वेच्छित;अनियन्त्रित
arbitration,पञ्चायत;मध्यस्थता
arbitrator,पञ्च;न्यायकर्त्ता;मध्यस्थ
arboreal,वानस्पतिक
arbour,कुञ्ज;लतागृह
arc,वृत्तखण्ड;धनुष;चाप
arcade,तोरण पथ;बरसाती कमांचा
arch,प्रधान;मुख्य;ठठोलिया;चालाक
archaeology,पुरातत्व
archaic,प्राचीन;अप्रचलित
archangel,महादूत
archbishop,प्रधान पादरी
archery,धनुर्विद्या
archipelago,द्वीपसमूह
architecture,स्थापत्य;शिल्प विद्या;बनावट
archives,लेखागार
arctic,उत्तरी ध्रुवी
ardent,उत्कट;तीव्र;उत्साही;प्रचण्ड
arduous,कठिन;विकट;दूभर;दुष्कर;दुरारोह
area,क्षेत्र;क्षेत्रफल;मैदान
arena,रंगभूमि;अखाड़ा
argument,तर्क;युक्ति;दलील;बहस
argumentative,विवादप्रिय;तार्किक
arid,सूखा;भूना हुआ
aristocracy,अभिजात वर्ग;उच्चवर्ग;प्रधानजन
arithmetic,अंकगणित
ark,बड़ा जहाज;सन्दूक
arm,बाहु;भुजा;खाड़ी;शाखा;हथियार;बल
armament,युद्ध का सामान
armistice,युद्धविराम
armour,कवच;वर्म
armoury,शस्त्रागार
army,सेना
aroma,मीठी सुगन्ध
aromatic,सुरभित;सुगन्धित;महकीला
around,हर ओर;घेर कर;हर ओर;घेर कर
arouse,जगाना;उठाना;भड़काना;चौंकाना
arraign,दोषी ठहराना;कलंक लगाना
arrangement,प्रबन्ध;क्रम से स्थापन
arrears,बकाया;शेष
arrival,आगमन
arrogance,अहंकार;दर्प;घमण्ड;अभिमान;गर्व
arrogant,अहंकारी;घमण्डी;हठी;अभिमानी
arrow,तीर;बाण;शर
arrowhead,तीर का फल
arsenal,शस्त्रागार
arsenic,संखिया;हरताल
arson,आग लगाना
art,कला;कौशल;प्रवीणता;कारीगरी
artery,रक्तवाहिनी
artful,चालाक;धूर्त;चतुर;निपुण
article,वस्तु;चीज;दफा;धारा;लेख;निबन्ध
articulate,स्पष्ट;सवाक;सन्धियुक्त
artifice,शिल्पकार;चालाकी;फरेब;धोखा;छल
artificial,कृत्रिम;बनावटी;अप्राकृतिक
artillery,तोपखाना
artisan,शिल्पी;दस्तकार;कारीगर
artist,कलाकार;चित्रकार;गुणी;सुघड़
ascend,चढना;ऊपर को उठना;बढना
ascendancy,प्रभुता;प्रभाव;सर्वाधिकार;बस
ascension,चढाव;उठान
ascent,चढाई;चढाव;आरोहण;ढाल
ascetic,तपस्वी;यति;आत्मसंयमी
ashamed,लज्जित;शरमिन्दा;संकुचित
ashes,राख;भस्म
aside,एक ओर;अलग;एकान्त में;छिप कर
askance,तिरछी;तिरछी दृष्टि से
asleep,सोता हुआ;निद्रा में;अचेत
aspect,पहलू;रूप;दृष्टि;भाव;आकार;छवि
aspersion,कलङ्क;अपवाद;दोष
aspiration,चाह;लौ;अभिलाषा
aspire,चाहना
assailant,आक्रमणकारी
assassin,गुप्तघातक;हत्यारा
assassination,वध;हत्या;गुप्तघात
assault,धावा;चढाई;वार;मारपीट
assemblage,जमघट;सभा;मण्डली;जनसमूह
assent,अनुमति;स्वीकृति;अंगीकार
assert,दृढता से कहना
assertion,दावा;दृढ-वचन;निश्चित वाक्य
assess,आंकना;कूतना
assessment,आंकलन
assets,पूंजी
assiduity,परिश्रम;एकाग्रता;धुन;तत्परता
assignment,नियत कार्य;कार्यभार;निदेश
assimilation,सम्मिलन;परिपाक;अनुकूलता
assistance,सहायता;सहारा;सहयोग
assistant,सहायक;नायब
associate,संयुक्त;मिला हुआ;सहयोगी;मित्र
association,संग;संसर्ग;संगत;मेल;संघ;सभा
assortment,वर्गीकरण
assumption,पूर्वधारणा;पूर्वानुमान;ग्रहण
assurance,आश्वासन;भरोसा;विश्वास
asterisk,तारक;तारा का चिह्न
asthma,दमा;श्वास-रोग
asthmatic,दमा का रोगी;श्वास रोग संबन्धी
astonishment,विस्मय;अचम्भा;आश्चर्य
astray,भूला-भटका;पथभ्रष्ट;पथ से अलग
astride,टांगें फैला कर
astronomer,ज्योतिर्विद
astronomy,खगोल विद्या
astute,घाघ;चतुर;चालाक;धूर्त;कपटी
asunder,पृथक;भिन्न भिन्न;अलग
asylum,शरण-स्थान;आश्रय-स्थान;आश्रम
asymptomatic,स्पर्शोन्मुख
at all events,सब दशा में
at the outset,आरंभ में
at once,तुरत;एकाएक;तुरन्त
atheism,नास्तिकता;अनीश्वरवाद
atheist,नास्तिक
athlete,व्यायामी;पहलवान;मल्ल
athletic,हृष्ट-पुष्ट;हट्टा-कट्टा
athletics,खेल;कसरत;व्यायाम
atlas,एटलस;मानचित्र की पुस्तक
atmosphere,वायुमण्डल
atom,परमाणु
atomic,परमाण्विक;परमाणुक
atonement,प्रायश्चित;क्षतिपूर्ति
atop,ऊपर;सिर के ऊपर
atrocious,नृशंस;घोर;अति-दुष्ट
atrocity,नृशंसता;अत्याचार;घोर कर्म
attachment,लगाव;चाह;स्नेह;प्रेम;कुर्की
attainable,प्राप्य;लभ्य
attainment,प्राप्ति;पहुंच;योग्यता
attempt,प्रयास;प्रयत्न;उद्योग;कोशिश
attendance,सेवा;टहल;उपस्थिति
attendant,उपस्थित;सेवक;परिचारक;साथी
attention,ध्यान;चौकसी;परवाह;आदर;सत्कार
attentive,सावधान;सचेत;चौकस;शिष्ट;विनीत
attire,पहनावा;वस्त्र;आभूषण
attitude,रवैया;ढङ्ग;भाव;स्थिति;ठाठ
attorney,मुख्तार;प्रतिनिधि;अधिकृत
attraction,आकर्षण;खिंचाव;मोह;लुभाव
attractive,आकर्षक;मनोहर;मनमोहक;सोहनी
attributable,रोप्य
attribution,सम्बन्ध;रोपण;लगाव
attrition,घिसाव;रगड़ा;संघर्षण
audacious,ढीठ;धृष्ट;अक्खड़;उजड़्ड़;साहसी
audible,श्रव्य;श्रवण योग्य;कर्ण-गोचर
audience,श्रोतागण;दर्शन
audit,लेखा परीक्षण;हिसाब की जांच
auditor,लेखा परीक्षक
auger,बरमा;बड़ा पेंचदार बरमा
aught,कुछ भी;कोई वस्तु;कोई अंश
augmentation,वृद्धि;बढाव;उन्नति
