English,Hindi
Abatement," उपशमन ,कमी"
Abbreviation,संक्षिप्‍ति
Abduction,अपहरण
Abeyance,प्रास्थगन
Ability,योग्यता
Ab initio,"आदित:,आरंभ से"
Able,योग्य
Abnormal,अपसामान्य
Abolition," उन्मूलन , समाप्‍ति"
Abolitionof post,पद समाप्‍ति
Above mentioned,"ऊपर उल्लिखित, उपर्युक्‍त"
Above quoted,ऊपर उद्‍धृत
Above said,उपर्युक्‍त
Absence," अनुपस्थिति, गैरहाजि़री , अभाव"
Absentee,"अनुपस्थित, ग़ैरहाजि़र"
Absenteeism," अनुपस्थिति-प्रवृत्‍ति , अन्यत्रवासिता"
Absentee statement,अनुपस्थिति-विवरण
Absolute," पूर्ण , निरपेक्ष"
Absolute monopoly,पूर्ण एकाधिकार
Absolute ownership,पूर्ण स्वामित्व
Absorption," आमेलन , अवशोषण"
Abstract,सार
Abstractstatement,सार-विवरण
Absurd,"अर्थहीन, बेतुका"
Abundance,प्रचुरता
Abuse of power,शक्‍ति का दुरुपयोग
Abusive language,गाली-गलौज 
Academic,"अकादमिक, शैक्षणिक,विद्‌यासंबंधी,शास्त्रीय"
Academic discussion,शास्त्रीय चर्चा
Academic leave,अकादमिक छुट्टी
Academic qualification,शैक्षिणिक अर्हता
Academic record,"शैक्षिक रिकार्ड,शैक्षिक अभिलेख"
Accede,"मान लेना, अधिमिलन होना"
Accept,"स्वीकार करना,मानना"
Acceptance," स्वीकृति , प्रतिग्रहण "
Acceptance of office,पद-स्वीकृति
Acceptance of tender,निविदा की स्वीकृति
Access,पहुंच
Accession,"राज्यारोहण , पदारोहण , परिग्रहण"
Accessory," अनुषंगी, उपसाधन"
Accident," दुर्घटना, संयोग"
Acclimatization,पर्यनुकूलन
Accommodation," आवास, निर्वाह , समंजन"
Accompanist,संगकार
Accord," समझौता, प्रदान करना, देना"
Accordance,"अनुरूपता, संगति"
Accordingly,तदनुसार
Account," लेखा,खाता ,हिसाब"
Accountability,जवाबदेही
Accountable," जवाबदेह, देनदार"
Accountancy," लेखा विधि , लेखा कार्य"
Accountant,लेखाकार
Account for," कारण बताना , लेखा-जोखा देना"
Account head,लेखा-शीर्ष
Accrued benefit,प्रोद्‌भूत हितलाभ
Accrued pension,प्रोद्‌भूत पेन्शन
Accumulation,"संचय,संचयन"
Accuracy," यथार्थता , परिशुद्‌धता"
Accurate," यथार्थ, सही , परिशुद्‌ध"
Accuse,अभियोग लगाना
Accused,अभियुक्‍त
Achievement,उपलब्‍धि
Acknowledgement," पावती,प्राप्‍ति सूचना ,अभिस्वीकृति "
Acknowledgement due,"पावती पत्र, रसीदी"
Acquaintance," (व्यक्‍ति) परिचित , परिचय"
Acquisition,"अधिग्रहण, अर्जन"
Acquittance,"भुगतान , भरपाई,निस्तारण "
Act,"कार्य, कृत्य,अधिनियम"
Acting allowance,कार्यकारी भत्‍ता
Action,"कार्रवाई,क्रिया, कार्य , संघर्ष"
Action plan,कार्य योजना
Active,सक्रिय
Actively,"सक्रियता से, सक्रियतापूर्वक"
Activist," कर्मठ कार्यकता , सक्रियतावादी"
Act of God,दैव कृत्य
Act of misconduct,कदाचार
Act of commission and omission,भूल-चूक
Actual,वास्तविक
Actuals,वास्तविक आंकडे
Adaptation," अनुकूलन, रूपांतर"
Addition," योग, जोड़, परिवर्धन"
Additional charge,अतिरिक्‍त प्रभार
Additional fund,अतिरिक्‍त निधि
Additional grant,अतिरिक्‍त अनुदान
Additional information,"अतिरिक्‍त सूचना, अतिरिक्‍त जानकारी"
Additional pay,अतिरिक्‍त वेतन
Addition and alteration,परिवर्तन-परिवर्धन
Address," पता, अभिभाषण, संबोधन,संबोधित करना, मानपत्र , विचार करना"
