English,Hindi
aa,प्रत्येक
abalientio mentis,मानसिक विपथन
abasia,चलन-अक्षमता
abatement,उपशमन
abdomen,उदर
abdominocentesis,उदरवेधन
abdominoscopy,उदरांतर्दर्शन
abducent,अपवर्तनी
abduct,अपवर्तन
abductor,अपवर्तक
abembryonic,अपभ्रूण
aberrant,विपथी
aberrometer,विपथनमापी
abiogenesis,अजीवात्‌ जनन
abiosis,अजीवता
abiotrophy,अजीवपोषण
ablactation,अपस्तन्यन
ablastemic,अप्रसूकोशिकापुंजी
ablation," अंशोच्छेदन, वियोजन"
ablepheron,अवर्त्मता
ablution,धावन
abnormal,अपसामान्य
abort," वृद्धि , गर्भपात"
aborticide,गर्भनाशी
abortifacient (=abortient),"1 गर्भस्रावक,गर्भपाती"
abortion (=miscarriage),"गर्भपात, वृद्धिरोध"
artificial a.,कृत्रिम गर्भपात
early a.,आरम्भिक गर्भपात
habitual a.,पुनः पुनः गर्भपात
induced a.,प्रेरित गर्भपात
missed a.,लीन गर्भपात
spontaneous a.,स्वतः गर्भपात
therapeutic a.,चिकित्सार्थ गर्भपात
abortive," गर्भपाती , वृद्धिरोधी , रुद्धवृद्धि"
abortus,पतित गर्भ
aboulia,इच्छादौर्बल्य
abrachia,अप्रगण्डता
abrasion,"अपघर्षण,खरोंच"
abreaction,भाव विरेचन (युक्ति)
abscess,"विद्रधि,फोड़ा"
abscission,उत्पाटन
absolute," परम , पूर्ण , परिशुदध, एबसोल्यूट, निरपेक्ष मान"
absorbance,अवशोषणांक
absorbent,अवशोषक
absorptiometer,"अवशोषणमापी,ऐब्सॉप्शियोमीटर"
absorption,अवशोषण
abstinence,"संयम,परहेज"
abstraction," सारहरण , अपहरण, पृथक्करण"
abutment,अन्त्याचार
acalculia,परिकलन अक्षमता
acanthion (=akanthion)," नासाग्रकंटक, नसाग्रकंटक बिन्दु,"
acanthocytosis,"एकेन्थासाइटोसिस,कंटककोशिकता"
acanthoma,"कंटिकार्बुद,एकेन्थोमा"
acardia,अह्दयता
acardius,अह्वद गर्भ
acarodermatitis,ऐकेरसत्वकशोथ
acatalasia,"ऐकेटेलेसिया, केटेलेसहीनता"
acatalepsia (=acatalepsy),बोधष्ठीनता
acataphasia,असम्बद्ध वाचिता
acceleration,त्वरण
accentuation,प्रबलन
acceptor,"स्वीकारक, ग्राही"
accessory (=accessorius),"सहायक, अपर, अतिरिक्त"
acclimatization (=acclimation),"दशानुकूलन, पर्यनुकूलन"
acetonuria,ऐसिटोनमेह
accommodation,समंजन
accouchement,प्रसव
accretion,अभिवृद्धि
accretio cordis,परिह्दद आसंग
"acephalia (=acephalism, acephaly)",अशीर्षता
acervulus (=brain sand),मस्तिष्क सिकता
acerbity,तीखापन
acetabuloplasty,अलूखल-संधान
acetabulum,"उलूखल, ऐसिटेबुलम"
acetnaemia,ऐसिटोनरक्तता
achalasia,"अशिथिलता, ऐकेलेसिया"
acheilia,(सहज) अनोष्ठता
acheiria,अहस्तता
acheiropodia,(सहज) अहस्तपादता
achlorhydira,जठर-अनम्लता
acholia,अपित्तता
acholuria,अपत्तिमेह
achondroplasia,उपास्थि-अविकसन
achromasia," अत्वग्वर्णता , अरंजकता"
achromatic,अवर्णी
achromatopia (=achromatopsia) (=colour blindness),वर्णाधता
achromocyte,"अल्पवर्णी कोशिका, एक्रोमोसाइट"
achylia,"स्रवणहीनता, स्रावहीनता"
achylous,अवसालसीका
acicular,सूच्याकार
acidaemia (=acidosis),अम्लरक्तता
acidification," अम्लीकरण , अम्लीभवन , अम्लन"
acidimetry,अम्लमिति
