English,Hindi
abandoned cargo,परि‍त्यक्त माल
abandonment of claim,दावे का परि‍त्याग
abatement,कमी
abatement of duty,शुल्क में कमी
abatement of purchase money,क्रय धन में कमी
abdication,"अधि‍कार-त्याग , पद-त्याग"
ability to invest,नि‍वेश क्षमता
ability to pay,भुगतान क्षमता
abnormal demand,असामान्य मांग
abnormal method of finance,"वि‍त्तपोषण की असामान्य प्रणाली ,वि‍त्तपोषण की असामान्य पद्धति‍"
abnormal price,असामान्य कीमत
abnormal profit,असामान्य लाभ
aboard,"जहाज पर, पोत पर"
abolition,समाप्ति
above from liability,दायि‍त्व से मुक्ति पाना
above par value,अधि‍मूल्य पर
above the line provision,लाभ नि‍कालने के पहले प्रावधान
abrasion of coins,सि‍क्कों की घि‍साई
abridgement of  damages,हर्जाना कम करना
absconding debtor,फरार देनदार
absentee capitalism,दूरवासी पूंजी प्रथा
absentee owner,"दूरवासी स्वामी, अनुपस्थि‍त स्वामी"
absentee statement,अनुपस्थि‍ति-वि‍वरण
absenteeism rate,अनुपस्थि‍ति-दर
absolute acceptance,नि‍रपेक्ष स्वीकृति
absolute amount,समग्र राशि
absolute assignment,पूर्ण समनुदेशन
absolute authority,पूर्ण प्राधि‍कारी
absolute contract,नि‍रपेक्ष संवि‍दा
absolute conveyance,पूर्ण हस्तांतरण
absolute conviction,"पूर्ण धारणा ,पूर्ण वि‍श्वास"
absolute estate,नि‍र्बाध संपदा
absolute family wage,नि‍रपेक्ष परि‍वार मजदूरी
absolute monopoly,"पूर्ण एकाधि‍कार, नि‍रपेक्ष एकाधि‍कार"
absolute necessities,अत्यावश्यक वस्तुएं
absolute owner,पूर्ण स्वामी
absolute ownership,पूर्ण स्वामि‍त्व
absolute power,पूर्ण शक्ति
absolute property,नि‍र्बाध संपत्ति
absolute sale,नि‍रपेक्ष बि‍क्री
absolute surplus value,नि‍रपेक्ष बेशी मूल्य
absolute title,"पूर्ण स्वत्वाधि‍कार ,पूर्ण हक"
absolute value,नि‍रपेक्ष मूल्य
absorbed capital,आमेलि‍त पूंजी
absorbed labour,नि‍योजि‍त श्रमि‍क
absorbed liquidity,अवशोषि‍त चलनि‍धि
absorbed shares,"अवशोषि‍त शेयर,अवशोषि‍त अंश"
absorbing banking company,आमेलक बैंकिंग कंपनी
absorption  of credit,ऋण खपाना
