English,Hindi
Abrasion,अपघर्षण
Abrasion test,अपघर्षण परीक्षण
Abrasive (Abradant),अपघर्षक
Absolute pressure,यथार्थ दाब
Absorber,अवशोषक
Absorption Dynamometer,"अवशोषण शक्ति मापित्र, अवशोषण डायनामोमीटर ।"
Acceleration,त्वरण
Acceleration due to gravity,गुरुत्व त्वरण
Accelerator Pedal,"त्वरक पैडल,त्वरक पदिक"
Accelerometer,त्वरणमापी
Accessory gear-box,उपसाधन गियर-बॉक्स
Acid pump,अम्ल-पम्प
Ackermann Steering,एकरमान अरित्रण
Acme thread,एकमी-चूड़ी
Actual coefficient of Performance,(वास्तविक निष्पादन गुणांक)
Actual efficiency of Pump,वास्तविक दक्षता (पंप)
Actuator,प्रवर्तक
Adapter,अनुकूलक
Addendum,एडेन्डम
Addendum (screw thread,एडेण्डम (पेंच चूड़ी)
Addendum Angle,एडेण्डम कोण
Addendum circle,एडेन्डम वृत
Adhasion,आसंजन
Adiabatic Compression,रुध्दोष्म संपीड़न
Adiabatic expansion,रुध्दोष्म प्रसरण
Adiabatic flow,रुध्दोष्म प्रवाह
Adjustable pitch propeller,समायोज्य अंतराल नोदक
Adjusting Rod,समायोजी दण्ड
Adjusting Screw,समायोजी पेंच
Adustment Strips,समायोजन पट्टियां
Admission,प्रवेश
Admission Corner,प्रवेश कोना
Admission line,प्रवेश रेखा
Admission port,प्रवेश व्दारक (पोर्ट)
Advance,अग्रता
Advance of Spark,चिंगारी-अग्रता
Aero-engine,विमान-इंजन
Agitator,विलोडक
Air bearing,वायु बेयरिंग
Air brake,वायुब्रेक
Air chuck,वायु चक
Air Compressor,दायु संपीडित्र
Air cooling,वायु शीतन
Air cushion,वायु कुशन
Air Cushion Vehicle,वायु कुशन वाहन
Air Dashpot,वायु अवमंदक पात्र
Air Drill,वायु बरमा
Air ejector,वायु मिष्कासक
Air Engine,वायु इंजन
Air Hammer,वातिल घन
Air injection,वायु अन्तः क्षेपृण
Airless solid injection,वायुहीन अन्तः क्षेपण
Air lift pump,वायु उत्थापक पम्प
Air meter,वायु-मापी
Air pockets,"वायु गुहिकायें,पाकेट"
Air preheater,वायु पूर्व-तापक
Air pressure Reducing Valve,वायु दाब न्यूनक वाल्व
Air pump,वायु पम्प
Air-speed Indicator,वायु-चाल सूचक
Air standard cycle,वायु मानक चक्र
Air standard efficiency,वायु मानक दक्षता
Air starting valve,वायु प्रवर्तक वाल्व
Air valve,वायु वाल्व
Air vessel,वायु पात्र
Alarum (clock),अलारम (घन्टा)
Alighting gear,अवतरण यंत्रावली
Alignment,संरेखण
Allowance,छट
Alternate cone,एकान्तर शंकु
Amplifier,प्रवर्धक
Amplitude,आयाम
Amplitude specturm,आयाम स्पैक्ट्रम
Anemometer,वायुवेगमापी
Aneroid Barometer,नेरायड बैरोमीटर
Angle bearing,कोण बेयरिग
Angle Bending Machine,कोण बंकन मशीन
Angle cutter,कोण भ्रमिकर्तक
Angle gearing,कोण गरारी निकाय
Angle of flexure,आनम्यता कोण
Angle of Inclination,नति कोण
Angle of obliquity,तिर्यकता कोण
Angle of Relief,अवकाश-कोण
Angle of Thread,चूड़ी कोण
Angle of Twist,मरोड़-कोण
Angle of upset,उलटाव कोण
Angle Valve,कोण-वाल्व
Angular acceleration,कोणीय त्वरण
Angular Advance,कोणीय अग्रता
Angular cutter,कोणीय भ्रमि कर्तक
Annular seating,वलयाकार सीट
Annular valve,वलयाकार वाल्व
Annular wheel,वलयाकार गरारी
Anti-friction Bearing,घर्षण-रोधी बेयरिंग
Anti-friction Metal,घर्षण रोधी धातु
Anti-friction Roller,घर्षण रोधी रोलर
Antiphase,प्रतिफेज
Anti-resonance,प्रति अनुवाद
Anti-static beiting,प्रति-स्थेतिक पट्टा
Anvil,निहाई
Aperiodic,अनावर्ती
Arboring,आर्बरन
Archimedes Principle,आर्कमीडीज का सिद्धांत
Arch of approach,उपगमचाप
Arc of contact,संपर्क चाप
Arc of recess,उपगमन-चाप
Arc thickness,चाप मोटाई
Assembly shop,एसेम्बली शॉप
Automatic Centre punch,स्वतः केन्द्र-पंच
Axial flow,अक्षीय प्रवाह
Axial flow turbine,अक्षीय प्रवाह टरबाइन
Axial thrust,अक्षीय प्रणोद
backlash,पिच्छट
back rest,"पश्चटेक,पश्चाधार"
Balance Piston,संतुलक पिस्टन
Ballistics,प्राक्षेपिकी
Basic Size,"मूल साइज,मूल आमाप"
Bearing housing,बियरिग धारक
Battery ignition system,बैटरी प्रज्जवलन तंत्र
Bevel gear,बेवेल गियर
Bevel gearing,बेवेल गियरन
Bevel wheel,बेवेल पहिया
Black-smithy,लोहशाला
Bolt,काबला
Bolt cutter,काबला मशीन
Borehole pump,बेथ छिद्र पम्प
